Date,Stock_Price_BAC(USD),Open_Stock_Price_BAC(USD),High_Stock_Price_BAC(USD),Low_Stock_Price_BAC(USD),Vol_Stock_BAC,Change_Stock_BAC_Perc
15-Jul-22,32.38,30.68,32.4,30.61,39.98M,7.47%
14-Jul-22,30.13,30.09,30.21,29.68,51.20M,-2.30%
13-Jul-22,30.84,31.05,31.13,30.4,43.74M,-1.66%
12-Jul-22,31.36,31.05,32.02,30.99,39.34M,-0.32%
11-Jul-22,31.46,31.55,31.79,31.3,29.15M,-1.04%
8-Jul-22,31.79,32.01,32.25,31.56,30.91M,-0.22%
7-Jul-22,31.86,31.5,32.01,31.47,39.44M,2.84%
6-Jul-22,30.98,31.01,31.25,30.64,35.75M,-0.83%
5-Jul-22,31.24,30.8,31.24,30.45,47.21M,-1.01%
1-Jul-22,31.56,30.98,31.67,30.63,40.24M,1.38%
30-Jun-22,31.13,31.17,31.55,30.64,45.59M,-2.29%
29-Jun-22,31.86,32.23,32.44,31.66,34.70M,-1.24%
28-Jun-22,32.26,32.83,33.5,32.19,48.84M,-0.28%
27-Jun-22,32.35,32.42,32.6,31.91,47.90M,0.12%
24-Jun-22,32.31,31.25,32.77,31.23,79.14M,0.72%
23-Jun-22,32.08,32.38,32.4,31.26,43.29M,-1.60%
22-Jun-22,32.6,32.39,32.94,32.32,37.50M,-0.76%
21-Jun-22,32.85,32.89,33.29,32.62,53.06M,2.91%
17-Jun-22,31.92,32.03,32.58,31.64,80.47M,0.22%
16-Jun-22,31.85,31.5,32,30.86,61.36M,-0.62%
15-Jun-22,32.05,31.98,32.49,31.42,51.05M,1.88%
14-Jun-22,31.46,31.92,32.6,31.23,49.03M,-1.75%
13-Jun-22,32.02,32.39,32.77,31.74,60.60M,-3.47%
10-Jun-22,33.17,33.68,34.04,33.02,48.59M,-3.88%
9-Jun-22,34.51,35.74,35.84,34.5,48.59M,-3.85%
8-Jun-22,35.89,35.92,36.11,35.52,33.26M,-1.27%
7-Jun-22,36.35,35.9,36.4,35.74,29.07M,0.55%
6-Jun-22,36.15,36.7,37.21,36.1,40.39M,-0.11%
3-Jun-22,36.19,36.48,36.68,36.13,25.24M,-1.39%
2-Jun-22,36.7,36.41,36.71,36.06,35.21M,0.08%
1-Jun-22,36.67,37.46,37.47,36.17,34.97M,-1.42%
31-May-22,37.2,36.81,37.53,36.61,71.31M,0.49%
27-May-22,37.02,36.89,37.05,36.58,43.37M,0.95%
26-May-22,36.67,36.5,36.84,36.34,59.90M,2.32%
25-May-22,35.84,35.5,36.27,35.29,48.50M,0.53%
24-May-22,35.65,35.47,35.96,34.96,45.75M,-0.61%
23-May-22,35.87,34.76,36.26,34.66,68.57M,5.94%
20-May-22,33.86,34.8,34.98,32.96,62.41M,-1.71%
19-May-22,34.45,34.29,34.84,34.25,47.00M,-1.23%
18-May-22,34.88,35.62,35.69,34.6,46.68M,-3.08%
17-May-22,35.99,35.62,36.22,35.43,41.94M,3.39%
16-May-22,34.81,35,35.17,34.41,38.86M,-1.02%
13-May-22,35.17,35.53,35.73,34.76,48.89M,0.29%
12-May-22,35.07,35.01,35.43,34.26,60.94M,-1.41%
11-May-22,35.57,35.9,36.92,35.51,54.75M,-0.53%
10-May-22,35.76,36.75,37.13,35.18,59.89M,-1.68%
9-May-22,36.37,36.87,37.06,36.06,51.24M,-2.88%
6-May-22,37.45,37.37,37.62,36.61,50.44M,-0.24%
5-May-22,37.54,38.05,38.21,36.87,48.86M,-2.80%
4-May-22,38.62,37.37,38.75,37.28,57.86M,4.01%
3-May-22,37.13,36.34,37.63,36.33,48.49M,2.74%
2-May-22,36.14,36,36.27,35.41,46.42M,1.29%
29-Apr-22,35.68,36.75,37.13,35.54,47.42M,-3.07%
28-Apr-22,36.81,36.73,36.95,36.16,39.23M,1.54%
27-Apr-22,36.25,36.27,36.91,36.17,39.38M,-0.55%
26-Apr-22,36.45,36.83,37.53,36.43,43.74M,-2.25%
25-Apr-22,37.29,36.89,37.4,35.93,63.96M,-0.72%
22-Apr-22,37.56,38.81,38.85,37.5,48.64M,-3.47%
21-Apr-22,38.91,40,40.21,38.62,45.82M,-1.89%
20-Apr-22,39.66,40.15,40.37,39.61,44.05M,0.23%
19-Apr-22,39.57,39.21,39.88,39.11,51.56M,1.85%
18-Apr-22,38.85,37.42,39.31,37.22,79.44M,3.41%
14-Apr-22,37.57,38.49,38.97,37.42,79.03M,-3.22%
13-Apr-22,38.82,38.5,39.01,38.36,44.95M,-0.89%
12-Apr-22,39.17,39.57,40.08,38.85,42.59M,-1.06%
11-Apr-22,39.59,39.48,40.4,39.39,34.07M,-0.20%
8-Apr-22,39.67,39.49,40.1,39.31,41.02M,0.71%
7-Apr-22,39.39,39.89,39.98,38.85,54.42M,-0.78%
6-Apr-22,39.7,39.74,40.01,39.35,53.89M,-1.10%
5-Apr-22,40.14,40.44,40.76,40.04,51.46M,-1.69%
4-Apr-22,40.83,40.48,41.14,40.16,53.61M,-0.17%
1-Apr-22,40.9,41.69,41.74,40.35,61.93M,-0.78%
31-Mar-22,41.22,42.84,42.89,41.2,67.16M,-4.14%
30-Mar-22,43,43.44,43.65,42.75,36.31M,-1.01%
29-Mar-22,43.44,44.25,44.39,43.11,46.03M,-0.25%
28-Mar-22,43.55,43.71,43.75,42.83,37.13M,-0.41%
25-Mar-22,43.73,43.48,44.26,43.33,38.97M,1.53%
24-Mar-22,43.07,43.38,43.43,42.88,30.24M,-0.05%
23-Mar-22,43.09,43.72,44.01,43.03,44.51M,-2.47%
22-Mar-22,44.18,43.82,44.63,43.69,52.10M,3.13%
21-Mar-22,42.84,43.35,43.43,42.51,44.51M,-0.14%
18-Mar-22,42.9,42.76,42.93,42.26,74.47M,-0.30%
17-Mar-22,43.03,42.41,43.04,41.83,50.03M,0.54%
16-Mar-22,42.8,42.24,43.04,41.92,58.44M,3.13%
15-Mar-22,41.5,41.26,41.78,40.87,41.21M,0.73%
14-Mar-22,41.2,40.9,42.18,40.9,53.90M,2.16%
11-Mar-22,40.33,41.04,41.38,40.29,43.95M,-0.84%
10-Mar-22,40.67,40.29,41.47,40.11,48.11M,-0.90%
9-Mar-22,41.04,40.31,41.6,40.16,77.17M,6.35%
8-Mar-22,38.59,39.07,39.66,38.17,76.35M,0.65%
7-Mar-22,38.34,39.93,40.11,38.21,108.26M,-6.37%
4-Mar-22,40.95,41.43,41.44,40.32,75.62M,-3.62%
3-Mar-22,42.49,43.09,43.49,42.21,48.34M,-1.55%
2-Mar-22,43.16,42.74,43.53,42.62,70.67M,1.62%
