Date,Stock_Price_BBVA(MXN),Open_Stock_Price_BBVA(MXN),High_Stock_Price_BBVA(MXN),Low_Stock_Price_BBVA(MXN),Vol_Stock_BBVA,Change_Stock_BBVA_Perc
15-Jul-22,92.833,92.833,92.833,92.833,-,-1.39%
14-Jul-22,94.1395,94.1395,94.1395,94.1395,-,-0.27%
13-Jul-22,94.3954,94.3954,94.3954,94.3954,-,0.30%
12-Jul-22,94.1151,94.1151,94.1151,94.1151,-,-0.58%
11-Jul-22,94.661,94.661,94.661,94.661,-,0.27%
8-Jul-22,94.4039,94.4039,94.4039,94.4039,-,-0.61%
7-Jul-22,94.985,94.985,94.985,94.985,-,0.62%
6-Jul-22,94.4015,94.4015,94.4015,94.4015,-,-1.19%
5-Jul-22,95.5415,95.5415,95.5415,95.5415,-,0.69%
4-Jul-22,94.8847,94.8847,94.8847,94.8847,-,0.54%
1-Jul-22,94.3741,94.3741,94.3741,94.3741,-,-1.25%
30-Jun-22,95.5711,95.5711,95.5711,95.5711,-,-0.81%
29-Jun-22,96.347,96.347,96.347,96.347,-,0.01%
28-Jun-22,96.34,96.34,96.34,96.34,-,1.35%
27-Jun-22,95.054,95.054,95.054,95.054,-,2.18%
24-Jun-22,93.022,93.022,93.022,93.022,-,-1.00%
23-Jun-22,93.9579,93.9579,93.9579,93.9579,-,-2.04%
22-Jun-22,95.9124,95.9124,95.9124,95.9124,-,1.01%
21-Jun-22,94.9506,94.9506,94.9506,94.9506,-,0.12%
20-Jun-22,94.8411,94.8411,94.8411,94.8411,-,0.03%
17-Jun-22,94.8149,94.8149,94.8149,94.8149,-,-2.02%
16-Jun-22,96.7674,96.7674,96.7674,96.7674,-,0.00%
15-Jun-22,96.7682,96.7682,96.7682,96.7682,-,0.37%
14-Jun-22,96.4161,96.4161,96.4161,96.4161,-,-0.31%
13-Jun-22,96.7131,96.7131,96.7131,96.7131,-,-1.51%
10-Jun-22,98.1992,98.1992,98.1992,98.1992,-,-1.04%
9-Jun-22,99.23,99.23,99.23,99.23,-,-0.03%
8-Jun-22,99.2627,99.2627,99.2627,99.2627,-,0.48%
7-Jun-22,98.7914,98.7914,98.7914,98.7914,-,-1.38%
6-Jun-22,100.1735,100.1735,100.1735,100.1735,-,-0.12%
3-Jun-22,100.2959,100.2959,100.2959,100.2959,-,-0.97%
2-Jun-22,101.2798,101.2798,101.2798,101.2798,-,-0.78%
1-Jun-22,102.0805,102.0805,102.0805,102.0805,-,-0.58%
31-May-22,102.6742,102.6742,102.6742,102.6742,-,-0.27%
30-May-22,102.9553,102.9553,102.9553,102.9553,-,0.93%
27-May-22,102.0025,102.0025,102.0025,102.0025,-,0.45%
26-May-22,101.5454,101.5454,101.5454,101.5454,-,0.28%
25-May-22,101.2577,101.2577,101.2577,101.2577,-,-0.15%
24-May-22,101.4078,101.4078,101.4078,101.4078,-,-0.25%
23-May-22,101.6585,101.6585,101.6585,101.6585,-,0.30%
20-May-22,101.3501,101.3501,101.3501,101.3501,-,1.68%
19-May-22,99.6748,99.6748,99.6748,99.6748,-,-2.27%
18-May-22,101.9882,101.9882,101.9882,101.9882,-,1.85%
17-May-22,100.1389,100.1389,100.1389,100.1389,-,1.71%
16-May-22,98.4541,98.4541,98.4541,98.4541,-,0.63%
13-May-22,97.8416,97.8416,97.8416,97.8416,-,0.28%
12-May-22,97.5725,97.5726,97.5726,97.5726,-,0.66%
11-May-22,96.93,96.93,96.93,96.93,-,0.07%
10-May-22,96.8629,96.8629,96.8629,96.8629,-,-0.74%
9-May-22,97.584,97.584,97.584,97.584,-,-1.71%
6-May-22,99.2832,99.2832,99.2832,99.2832,-,-1.40%
5-May-22,100.6904,100.6904,100.6904,100.6904,-,0.98%
4-May-22,99.7145,99.7145,99.7145,99.7145,-,-1.53%
3-May-22,101.2678,101.2678,101.2678,101.2678,-,0.51%
2-May-22,100.75,100.75,100.75,100.75,-,-2.17%
29-Apr-22,102.9895,102.9895,102.9895,102.9895,-,0.70%
28-Apr-22,102.2729,102.2729,102.2729,102.2729,-,-0.10%
27-Apr-22,102.372,102.372,102.372,102.372,-,0.25%
26-Apr-22,102.1139,102.1139,102.1139,102.1139,-,-1.03%
25-Apr-22,103.1788,103.1788,103.1788,103.1788,-,0.27%
22-Apr-22,102.8972,102.8972,102.8972,102.8972,-,-0.58%
21-Apr-22,103.4976,103.4976,103.4976,103.4976,-,-1.47%
20-Apr-22,105.0438,105.0438,105.0438,105.0438,-,0.94%
19-Apr-22,104.0638,104.0638,104.0638,104.0638,-,0.05%
18-Apr-22,104.0159,104.0159,104.0159,104.0159,-,0.34%
13-Apr-22,103.662,103.662,103.662,103.662,-,-0.82%
12-Apr-22,104.517,104.517,104.517,104.517,-,-0.47%
11-Apr-22,105.0082,105.0082,105.0082,105.0082,-,-0.78%
8-Apr-22,105.8351,105.8351,105.8351,105.8351,-,-0.50%
7-Apr-22,106.37,106.37,106.37,106.37,-,-0.19%
6-Apr-22,106.5706,106.5706,106.5706,106.5706,-,-1.04%
5-Apr-22,107.6854,107.6854,107.6854,107.6854,-,-0.47%
4-Apr-22,108.1899,108.1899,108.1899,108.1899,-,0.29%
1-Apr-22,107.8771,107.8771,107.8771,107.8771,-,1.65%
31-Mar-22,106.1287,106.1287,106.1287,106.1287,-,-0.57%
30-Mar-22,106.7357,106.7357,106.7357,106.7357,-,1.07%
29-Mar-22,105.611,105.611,105.611,105.611,-,0.41%
28-Mar-22,105.1767,105.1767,105.1767,105.1767,-,-0.84%
25-Mar-22,106.0662,106.0662,106.0662,106.0662,-,1.02%
24-Mar-22,104.9931,104.9931,104.9931,104.9931,-,-1.08%
23-Mar-22,106.1378,106.1378,106.1378,106.1378,-,1.59%
22-Mar-22,104.4769,104.4769,104.4769,104.4769,-,0.20%
18-Mar-22,104.2646,104.2646,104.2646,104.2646,-,1.84%
17-Mar-22,102.3856,102.3856,102.3856,102.3856,-,0.33%
16-Mar-22,102.0499,102.0499,102.0499,102.0499,-,-0.32%
15-Mar-22,102.3802,102.3802,102.3802,102.3802,-,-1.69%
14-Mar-22,104.1374,104.1374,104.1374,104.1374,-,-0.40%
11-Mar-22,104.555,104.555,104.555,104.555,-,-0.66%
10-Mar-22,105.2536,105.2536,105.2536,105.2536,-,0.98%
9-Mar-22,104.2351,104.2351,104.2351,104.2351,-,1.01%
8-Mar-22,103.1977,103.1977,103.1977,103.1977,-,-1.71%
