Date,Stock_Price_BanorteMx(MXN),Open_Stock_Price_BanorteMx(MXN),High_Stock_Price_BanorteMx(MXN),Low_Stock_Price_BanorteMx(MXN),Vol_Stock_BanorteMx,Change_Stock_BanorteMx_Perc
15-Jul-22,113.25,113.99,114.53,112.83,2.78M,-0.26%
14-Jul-22,113.54,114.01,114.34,112.91,6.47M,-1.24%
13-Jul-22,114.96,114.51,117.21,114.51,7.57M,-0.08%
12-Jul-22,115.05,111.64,115.68,110.62,8.89M,3.12%
11-Jul-22,111.57,113,113,111.14,6.54M,-1.90%
8-Jul-22,113.73,111.88,114.17,110.48,9.69M,1.38%
7-Jul-22,112.18,112.89,113.99,111.76,8.66M,-0.63%
6-Jul-22,112.89,111.86,113.5,111.15,4.53M,0.74%
5-Jul-22,112.06,112.01,112.49,108.54,8.24M,-0.44%
4-Jul-22,112.56,112.14,114.07,111.51,1.16M,-0.13%
1-Jul-22,112.71,112,114.4,110.51,4.98M,0.48%
30-Jun-22,112.17,113.21,113.49,110.48,12.58M,-1.53%
29-Jun-22,113.91,116.6,116.83,113.41,9.42M,-2.39%
28-Jun-22,116.7,117.77,117.83,115.42,6.97M,-0.49%
27-Jun-22,117.28,115.19,117.67,113.51,3.51M,2.35%
24-Jun-22,114.59,111.12,116,106.12,8.48M,2.60%
23-Jun-22,111.69,112.76,112.9,110.46,6.93M,-1.23%
22-Jun-22,113.08,118.41,118.58,112.83,5.81M,-4.79%
21-Jun-22,118.77,115.3,119.74,115.3,4.85M,3.27%
20-Jun-22,115.01,117.48,117.66,114.55,2.74M,-2.28%
17-Jun-22,117.69,116.73,119.73,114.45,16.06M,0.90%
16-Jun-22,116.64,117.5,117.62,115.02,9.62M,-1.10%
15-Jun-22,117.94,119.28,119.39,117.51,7.89M,-0.71%
14-Jun-22,118.78,118.99,120.7,117.11,8.84M,0.44%
13-Jun-22,118.26,116.68,119.58,113.06,8.79M,0.50%
10-Jun-22,117.67,119.82,120,117.06,4.99M,-2.63%
9-Jun-22,120.85,122.19,123.98,118.75,5.70M,0.09%
8-Jun-22,120.74,121.99,123.81,120,7.16M,-0.89%
