Date,Fix_Value(MXN)
3-Jan-12,13.6494
4-Jan-12,13.6742
5-Jan-12,13.762
6-Jan-12,13.7177
7-Jan-12,13.6894
8-Jan-12,13.6435
9-Jan-12,13.605
10-Jan-12,13.5359
11-Jan-12,13.5955
12-Jan-12,13.4284
13-Jan-12,13.3067
14-Jan-12,13.2287
15-Jan-12,13.1807
16-Jan-12,13.1538
17-Jan-12,13.136
18-Jan-12,13.0174
19-Jan-12,13.0008
20-Jan-12,12.9125
21-Jan-12,12.9904
22-Jan-12,13.0443
23-Jan-12,12.8971
24-Jan-12,12.8005
25-Jan-12,12.653
26-Jan-12,12.666
27-Jan-12,12.6852
28-Jan-12,12.7174
29-Jan-12,12.6677
30-Jan-12,12.815
31-Jan-12,12.7038
1-Feb-12,12.7651
2-Feb-12,12.8661
3-Feb-12,12.8263
4-Feb-12,12.7523
5-Feb-12,12.7732
6-Feb-12,12.84
7-Feb-12,12.8145
8-Feb-12,12.8905
9-Feb-12,12.8963
10-Feb-12,12.8432
11-Feb-12,12.8426
12-Feb-12,12.741
13-Feb-12,12.7465
14-Feb-12,12.8255
15-Feb-12,12.9976
16-Feb-12,12.8739
17-Feb-12,12.6896
18-Feb-12,12.6559
19-Feb-12,12.6577
20-Feb-12,12.5545
21-Feb-12,12.7143
22-Feb-12,12.6585
23-Feb-12,12.6698
24-Feb-12,12.644
25-Feb-12,12.6549
26-Feb-12,12.706
27-Feb-12,12.806
28-Feb-12,12.7457
29-Feb-12,12.6619
1-Mar-12,12.7062
2-Mar-12,12.7511
3-Mar-12,12.8057
4-Mar-12,12.8144
5-Mar-12,12.7296
6-Mar-12,12.7617
7-Mar-12,12.7775
8-Mar-12,12.8697
9-Mar-12,12.9654
10-Mar-12,13.1578
11-Mar-12,13.1631
12-Mar-12,13.0336
13-Mar-12,13.167
14-Mar-12,13.2105
15-Mar-12,13.1011
16-Mar-12,13.1792
17-Mar-12,13.2036
18-Mar-12,13.0989
19-Mar-12,13.18
20-Mar-12,13.15
21-Mar-12,13.1567
22-Mar-12,13.1679
23-Mar-12,12.9713
24-Mar-12,13.0099
25-Mar-12,12.9175
26-Mar-12,12.9323
27-Mar-12,12.9963
28-Mar-12,13.18
29-Mar-12,13.1681
30-Mar-12,13.3583
31-Mar-12,13.49
1-Apr-12,13.5043
2-Apr-12,13.5706
3-Apr-12,13.726
4-Apr-12,13.8345
5-Apr-12,13.7658
6-Apr-12,13.8405
7-Apr-12,13.8104
8-Apr-12,13.6891
9-Apr-12,13.8852
10-Apr-12,13.9909
11-Apr-12,14.0075
12-Apr-12,14.0273
13-Apr-12,13.881
14-Apr-12,14.1433
15-Apr-12,14.3635
16-Apr-12,14.309
17-Apr-12,14.2269
18-Apr-12,14.227
19-Apr-12,14.0308
20-Apr-12,14.0696
21-Apr-12,13.9225
22-Apr-12,14.0895
23-Apr-12,13.9846
24-Apr-12,14.035
25-Apr-12,13.8916
26-Apr-12,13.9256
27-Apr-12,13.8391
28-Apr-12,13.683
29-Apr-12,13.7191
30-Apr-12,13.9101
1-May-12,13.8515
2-May-12,13.9194
3-May-12,13.746
4-May-12,13.5555
5-May-12,13.6018
6-May-12,13.3852
7-May-12,13.3345
8-May-12,13.32
9-May-12,13.4095
10-May-12,13.39
11-May-12,13.369
12-May-12,13.3647
13-May-12,13.3039
14-May-12,13.463
15-May-12,13.2973
16-May-12,13.2141
17-May-12,13.1575
18-May-12,13.17
19-May-12,13.2223
20-May-12,13.3598
21-May-12,13.5608
22-May-12,13.7025
23-May-12,13.5973
24-May-12,13.4073
25-May-12,13.2388
26-May-12,13.2704
27-May-12,13.3301
28-May-12,13.378
29-May-12,13.3561
30-May-12,13.125
31-May-12,13.1932
1-Jun-12,13.233
2-Jun-12,13.1464
3-Jun-12,13.0826
4-Jun-12,13.0827
5-Jun-12,13.1468
6-Jun-12,13.1817
7-Jun-12,13.1359
8-Jun-12,13.1813
9-Jun-12,13.1225
10-Jun-12,13.112
11-Jun-12,13.147
12-Jun-12,13.078
13-Jun-12,13.155
14-Jun-12,13.165
15-Jun-12,13.2
16-Jun-12,13.1885
17-Jun-12,13.3066
18-Jun-12,13.3508
19-Jun-12,13.1925
20-Jun-12,13.175
21-Jun-12,13.1246
22-Jun-12,13.0523
23-Jun-12,12.9745
24-Jun-12,13.0663
25-Jun-12,12.9979
26-Jun-12,13.0108
27-Jun-12,12.8114
28-Jun-12,12.7174
29-Jun-12,12.7715
30-Jun-12,12.7932
1-Jul-12,12.8556
2-Jul-12,12.867
3-Jul-12,12.8696
4-Jul-12,12.9119
5-Jul-12,12.857
6-Jul-12,12.8751
