DATE,DEXMXUS
2/24/2020,19.089
2/25/2020,19.054
2/26/2020,19.163
2/27/2020,19.347
2/28/2020,19.73
3/2/2020,19.583
3/3/2020,19.33
3/4/2020,19.533
3/5/2020,19.825
3/6/2020,20.171
3/9/2020,20.926
3/10/2020,21.051
3/11/2020,21.205
3/12/2020,22.326
3/13/2020,21.885
3/16/2020,22.613
3/17/2020,23.14
3/18/2020,23.72
3/19/2020,24.087
3/20/2020,24.026
3/23/2020,25.127
3/24/2020,25.132
3/25/2020,24.395
3/26/2020,23.13
3/27/2020,23.41
3/30/2020,24.265
3/31/2020,23.448
4/1/2020,24.453
4/2/2020,24.034
4/3/2020,24.69
4/6/2020,24.628
4/7/2020,24.035
4/8/2020,24.039
4/9/2020,23.625
4/10/2020,23.42
4/13/2020,23.723
4/14/2020,23.599
4/15/2020,24.064
4/16/2020,24.124
4/17/2020,23.831
4/20/2020,24.037
4/21/2020,24.433
4/22/2020,24.585
4/23/2020,24.682
4/24/2020,24.8225
4/27/2020,24.832
4/28/2020,24.394
4/29/2020,23.927
4/30/2020,23.979
5/1/2020,24.8066
5/4/2020,24.3853
5/5/2020,23.7938
5/6/2020,24.295
5/7/2020,23.961
5/8/2020,23.619
5/11/2020,23.913
5/12/2020,24.037
5/13/2020,24.311
5/14/2020,24.172
5/15/2020,24.0493
5/18/2020,23.59
5/19/2020,23.614
5/20/2020,23.215
5/21/2020,22.924
5/22/2020,22.738
5/25/2020,.
5/26/2020,22.336
5/27/2020,22.358
5/28/2020,22.191
5/29/2020,22.17
6/1/2020,21.991
6/2/2020,21.722
6/3/2020,21.635
6/4/2020,21.851
6/5/2020,21.545
6/8/2020,21.638
6/9/2020,21.728
6/10/2020,21.941
6/11/2020,22.521
6/12/2020,22.298
6/15/2020,22.521
6/16/2020,22.175
6/17/2020,22.368
6/18/2020,22.669
6/19/2020,22.61
6/22/2020,22.457
6/23/2020,22.389
6/24/2020,22.7116
6/25/2020,22.83
6/26/2020,22.946
6/29/2020,23.123
6/30/2020,23.0821
7/1/2020,22.823
7/2/2020,22.52
7/3/2020,.
7/6/2020,22.275
7/7/2020,22.636
7/8/2020,22.855
7/9/2020,22.702
7/10/2020,22.507
7/13/2020,22.432
7/14/2020,22.592
7/15/2020,22.371
7/16/2020,22.288
7/17/2020,22.48
7/20/2020,22.58
7/21/2020,22.319
7/22/2020,22.256
7/23/2020,22.314
7/24/2020,22.363
7/27/2020,22.013
7/28/2020,21.957
7/29/2020,22.003
7/30/2020,22.183
7/31/2020,22.226
8/3/2020,22.574
8/4/2020,22.746
8/5/2020,22.423
8/6/2020,22.359
8/7/2020,22.483
8/10/2020,22.493
8/11/2020,22.338
8/12/2020,22.318
8/13/2020,22.28
8/14/2020,22.019
8/17/2020,22.042
8/18/2020,22.18
8/19/2020,22.046
8/20/2020,22.148
8/21/2020,22.042
8/24/2020,21.974
8/25/2020,21.961
8/26/2020,21.945
8/27/2020,22.115
8/28/2020,21.87
8/31/2020,21.88
9/1/2020,21.751
9/2/2020,21.832
