Date,Stock_Price_WFC(USD),Open_Stock_Price_WFC(USD),High_Stock_Price_WFC(USD),Low_Stock_Price_WFC(USD),Vol_Stock_WFC,Change_Stock_WFC_Perc
15-Jul-22,41.24,40.04,41.8,39.3,24.01M,6.45%
14-Jul-22,38.74,38.05,38.75,37.45,24.29M,-0.84%
13-Jul-22,39.07,39.09,39.35,38.41,14.06M,-1.34%
12-Jul-22,39.6,39.06,40.47,39.05,14.87M,-0.48%
11-Jul-22,39.79,39.67,40.01,39.24,13.10M,-0.97%
8-Jul-22,40.18,40.3,40.69,39.86,14.39M,0.15%
7-Jul-22,40.12,40.21,40.49,39.72,21.00M,1.57%
6-Jul-22,39.5,39.61,40.03,38.92,16.75M,-1.50%
5-Jul-22,40.1,39,40.12,38.51,19.08M,0.45%
1-Jul-22,39.92,38.72,40.08,38.46,15.33M,1.91%
30-Jun-22,39.17,39.07,39.71,38.28,20.29M,-1.36%
29-Jun-22,39.71,40.27,40.53,39.54,15.38M,-1.17%
28-Jun-22,40.18,40.97,41.56,40.08,17.98M,-0.15%
27-Jun-22,40.24,40.84,40.99,39.9,17.00M,-1.28%
24-Jun-22,40.76,38.68,41.1,38.51,39.38M,7.55%
23-Jun-22,37.9,38.06,38.36,37.15,22.89M,-1.81%
22-Jun-22,38.6,38.39,39.07,38.31,18.59M,-1.00%
21-Jun-22,38.99,39.86,39.94,38.87,24.84M,1.33%
17-Jun-22,38.48,37.83,38.97,37.5,59.11M,2.20%
16-Jun-22,37.65,37.36,37.73,36.54,37.99M,-1.36%
15-Jun-22,38.17,38,38.66,37.33,31.20M,1.98%
14-Jun-22,37.43,38.76,39.3,37.01,36.47M,-4.00%
13-Jun-22,38.99,38.98,39.68,38.77,27.30M,-2.72%
10-Jun-22,40.08,41.03,41.44,40.02,27.47M,-6.07%
9-Jun-22,42.67,44.58,44.63,42.64,19.67M,-4.39%
8-Jun-22,44.63,44.88,45.06,44.23,12.22M,-1.85%
7-Jun-22,45.47,44.76,45.54,44.63,13.27M,0.78%
6-Jun-22,45.12,45.34,45.89,44.96,11.87M,0.67%
3-Jun-22,44.82,44.83,45.33,44.61,12.57M,-1.13%
2-Jun-22,45.33,45.12,45.43,44.51,14.56M,0.38%
1-Jun-22,45.16,45.96,46.07,44.4,20.02M,-1.33%
31-May-22,45.77,45.34,46.27,45,39.55M,-0.26%
27-May-22,45.89,45.7,46.05,45.45,19.48M,0.64%
26-May-22,45.6,44.83,45.76,44.75,23.36M,3.35%
25-May-22,44.12,43.09,44.46,43.03,22.27M,1.92%
24-May-22,43.29,43.69,43.77,42.64,23.92M,-1.21%
23-May-22,43.82,42.73,44.32,42.73,27.78M,5.16%
20-May-22,41.67,42.51,42.79,40.74,35.41M,-0.79%
19-May-22,42,41.7,42.31,41.56,25.21M,-0.26%
18-May-22,42.11,43.29,43.31,41.89,27.10M,-3.66%
17-May-22,43.71,42.99,43.82,42.96,23.24M,3.55%
16-May-22,42.21,42.4,42.67,41.7,16.74M,-1.01%
13-May-22,42.64,42.45,43.19,42.28,21.20M,1.99%
12-May-22,41.81,42.23,42.41,40.92,29.97M,-1.79%
11-May-22,42.57,43.11,44.51,42.49,25.23M,-1.18%
10-May-22,43.08,44.39,44.71,42.19,25.20M,-2.00%
9-May-22,43.96,43.97,44.53,43.23,27.13M,-1.32%
6-May-22,44.55,44.61,44.88,43.52,27.04M,-0.47%
5-May-22,44.76,45,45.06,43.45,29.98M,-2.65%
4-May-22,45.98,44.31,46.13,44.18,29.47M,4.12%
3-May-22,44.16,43.9,44.64,43.66,21.45M,1.12%
2-May-22,43.67,43.87,44.04,42.61,24.96M,0.09%
29-Apr-22,43.63,45.04,45.4,43.51,27.15M,-3.41%
28-Apr-22,45.17,45.04,45.31,44.31,17.31M,1.32%
27-Apr-22,44.58,44.41,45.19,44.14,19.40M,0.00%
26-Apr-22,44.58,45.16,46,44.56,21.46M,-2.73%
25-Apr-22,45.83,45.72,45.97,44.53,29.56M,-1.10%
22-Apr-22,46.34,47.69,47.92,46.26,20.85M,-3.01%
21-Apr-22,47.78,49.15,49.49,47.6,18.38M,-1.79%
20-Apr-22,48.65,48.48,49.37,48.32,23.61M,1.71%
19-Apr-22,47.83,47.39,48.19,47.33,18.65M,1.40%
18-Apr-22,47.17,46.22,47.58,46.15,24.93M,1.77%
14-Apr-22,46.35,45.89,47.82,45.03,65.58M,-4.51%
13-Apr-22,48.54,47.54,48.62,47.45,19.90M,0.25%
12-Apr-22,48.42,49.68,49.9,48,25.34M,-1.84%
11-Apr-22,49.33,48.94,50.19,48.92,26.77M,1.23%
8-Apr-22,48.73,48,48.88,47.93,23.66M,2.07%
7-Apr-22,47.74,48.16,48.3,46.58,29.36M,-0.31%
6-Apr-22,47.89,47.69,48.08,47.4,25.67M,-0.48%
5-Apr-22,48.12,47.91,48.9,47.77,21.63M,-0.70%
4-Apr-22,48.46,48.45,48.66,47.6,23.73M,-0.51%
1-Apr-22,48.71,49.25,49.47,47.83,29.99M,0.52%
31-Mar-22,48.46,49.75,50.43,48.43,30.97M,-3.29%
